user	dzien dobry, co poleci pan z menu?	hello()
system	Dzień dobry, dzisiejszym daniem dnia jest krem z pomidorów	welcomemsg()
user	a dania z innych kategorii niz zupy?	request(menu-soups)
system	Serwujemy dania z kuchni polskiej i włoskiej: pizza, spaghetti, krem pomidorowy, kurczak, lemoniada, herbatka zimowa	inform(coutry_cuisine=['polska', 'włoska'], meals=['pizza', 'spaghetti', 'krem pomidorowy', 'kurczak', 'lemoniada', 'herbata zimowa'])
user	jakiego kurczaka macie? request(meal='kurczk')
system	Grillowany lub panierowany inform(kurczak=['grilowany', 'panierowany'])
user	jaka panierka?	request(kurczak='coating')
system	Co masz na myśli mówiąc panierka?	request(kurczak='coating')
user	grilowany lub panierowany, panierowany w czym	inform(kurczak='coating')
system	W mące, jajku i bułce tartej	infrom(coating=['mąka', 'jajka', 'bułka tarta'])
user	jakies przyprawy?	request(coating='seasoning')
system	Pójdę dopytać, proszę o chwilę cierpliwości	wait()
system	Kurczak jest przyprawiany przyprawą do kurczaka	inform(seasoning='do kurczaka')
user	to spaghetti inform(order=['spaghetti'])
system	Carbonara, bolognese, arabiata?	select(spaghetti_kind=['carbonara', 'bolognese', 'arabiata'])
user	carbonara	inform(spaghetti_kind='carbonara')
system	Dobrze, już zapisuję	confirm(spaghetti_kind='carbonara')
system	Coś do picia do tego?	request(anything_else)
user	nie, to wszystko	deny(anything_else)
system	Oczywiście, zamówienie zostanie podane za około 15 minut	inform(cooking_time='15 min')
user	ale ja chciałbym dowóz...	inform(delivery='dowóz')
system	Czas oczekiwania na dostawę do około 40 minut	confirm(delivery='dowóz')&infrom(delivery_time='40 min')
user	dobrze. ulica xyr 24	confirm(delivery_time)&inform(adres='ulica xyr 24')&bye()
