user	Witaj	hello()
system	witaj w restauracji pizza, czy chciałbyś cos zamówic?	welcomemsg()
user	Chciałbym zamówić pizzę z 4 serami	inform(order=['pizzę z 4 serami'])
system	35 złtych	inform(price='35zł')
system	na wynos, na miejscu, odbiór?	request(delivery)
user	Na miejscu	inform(delivery='na miejscu')
system	Jaki adres?	request(adres)
user	Na miejscu	inform(delivery='na miejscu')
system	pizza bedzie gotowa za 45 minut	inform('45 minut')
system	coś jeszcze?	request(anything_else)
user	To wszystko	deny(anything_else)
system	Dziekujęmy. polecamy sie na przyszłość	bye()
